French,English
longtemps,a long time
police,police
eau,water
heures,hours
car,because
importe,imported
cas,case
vont,are going
chaque,each
terre,earth
place,place
tué,kill
type,kind
main,hand
pardon,pardon
ensemble,together
seulement,only
guerre,war
beau,beautiful
vers,towards
mme,mrs
prie,pray
devant,before
trouve,find
partie,part
suite,following
compris,Understood
matin,Morning
leurs,their
aucun,none
arrivé,arrived
dessus,above
chérie,Dear
mettre,put
aide,aid
étaient,were
ie,ie
perdu,lost
fin,END
sois,be
premier,first
genre,gender
aimerais,would like to
droit,right
donne,given
attendez,wait
jeune,young
feu,fire
devrais,should
enfant,child
chambre,bedroom
gros,fat
côté,coast
venu,came
loin,far
laisser,let
donner,give
jouer,play
savais,knew
compte,account
s,s
parlé,speak
minutes,minutes
regardez,look
train,train
première,first
pouvoir,power
aura,will have
mourir,die
dernière,last
donné,given
ia,IA
mari,husband
écoute,listen
enfin,Finally
devrait,should
mis,put
film,movie
aucune,none
fort,strong
façon,way
pays,country
prêt,ready
madame,Mrs
femmes,women
affaire,affair
pourrais,could
espère,hope
parti,left
h,h
boulot,gig
endroit,place
fou,mad
corps,body
hier,yesterday
dont,of which
désolée,Sorry
grande,big
point,point
cinq,five
dehors,out
filles,girls
cause,cause
vivre,live
près,close
pensais,thought
garçon,boy
chef,chief
haut,high
capitaine,captain
dirait,would say
bébé,Babe
celui,that's why I wrote to you
demandé,asked
possible,possible
mains,hands
ainsi,Thus
quatre,four
nouvelle,new
années,years
plein,full
semaine,week
dites,say
croire,believe
marche,market
tour,round
école,school
manger,eat
plutôt,instead
docteur,doctor
ceux,those
vérité,truth
vue,seen
arrêter,Stop
essaie,try
envie,urge
bientôt,Soon
instant,moment
dernier,last
affaires,business
arriver,arrive
demander,ask
meilleur,best
font,make
derrière,behind
c,vs
dollars,dollars
presque,almost
dr,DR
tellement,such
tomber,to fall
journée,daytime
voulait,wanted to
appeler,to call
bureau,desk
confiance,trust
garde,guard
attendre,to wait for
numéro,number
serai,will be
dur,hard
á,To
souviens,remember
o,o
voyez,see
cours,course
bonsoir,Good evening
route,road
fera,will
prend,take
cul,ass
abord,on board
important,important
peine,sadness
croyais,believed
mot,word
devez,have to
suffit,enough
minute,minute
ferme,farm
ben,ben
plaisir,pleasure
chien,dog
jeu,game
seigneur,lord
messieurs,gentlemen
calme,calme
voudrais,would like
heureux,happy
prenez,take
mariage,marriage
voit,sees
parents,parents
lls,lls
dedans,inside
entrer,enter
lit,bed
parfait,Perfect
fous,crazy
mlle,Miss
rentrer,to return
ait,has
musique,music
arrêtez,Stop
autant,as much
service,service
reviens,come back
ceci,this
drôle,funny
attend,waits
parfois,Sometimes
téléphone,phone
retour,feedback
ira,will go
e,e
pauvre,poor
verre,glass
général,general
new,new
six,six
pensé,think
l,I
impossible,impossible
fête,party
adore,adore
coeur,heart
aimes,likes
ci,this
ferai,will do
président,president
doute,doubt
facile,easy
entends,hear
payer,pay
appelé,called
prison,prison
john,john
sors,go outside
café,coffee
vaut,worth
mauvais,bad
chéri,Dear
oublié,forget
bras,arm
i,I
gentil,kind
faute,mistake
équipe,crew
exactement,Exactly
cœur,heart
penser,think
changer,to change
commence,begin
lieu,place
entendre,hear
ies,ies
roi,king
plan,plan
partout,everywhere
joue,cheek
cher,Dear
morts,dead
rendre,render
écrit,writing
travailler,to work
malade,sick
sinon,Otherwise
génial,awesome
regarder,look
veulent,want
montrer,to show
rentre,go home
travaille,work
armée,army
voulu,desired
cherche,look for
état,state
boire,drink
sécurité,security
dès,of the
esprit,mind
année,year
dix,ten
york,york
laissé,leave alone
bois,drink
mets,put
propre,own
soyez,be
jack,jack
essayer,to try
faisait,did
tôt,early
surtout,Above all
arme,armed
t,t
rêve,dream
perdre,lose
avis,notice
semble,seems
pire,worse 
simple,simple
penses,thinking
parles,talk
paix,peace
livre,book
dormir,sleep
voyons,let's see
difficile,difficult
retard,delay
allait,was going to
d,d
sujet,subject
appris,learned
ensuite,Next
sauf,except
maître,master
morte,dead
noir,black
or,gold
dîner,dinner
choix,choice
serais,would be
écoute,listen
sale,dirty
étiez,have been
sûrement,certainly
an,year
ordre,order
souvent,often
essayé,tried
peuvent,can
visage,face
bout,end 
changé,exchange
sérieux,serious
inquiète,worry
âge,age
photo,photo
rue,Street
tirer,pull
comprendre,to understand
face,face
semaines,weeks
marché,market
questions,issues
honneur,honor
ciel,sky
allé,go
garder,keep
chemin,path
grave,severe
gauche,LEFT
petits,small
courant,fluent
amie,friend
nouvelles,news
avion,plane
con,stupid
content,thrilled
force,strength
millions,millions
oublie,forget
devoir,duty
prochaine,next
prix,price
propos,about
bateau,boat
bouge,move
voix,voice
rouge,red
restez,Stay
celle,that
pouvais,could
personnes,people
ferais,would do
début,beginning
espèce,species
gueule,mouth
acheter,buy
continue,keep on going
sort,spell
faim,hunger
long,long
j,J
voyage,journey
message,message
sorte,sort
reçu,received
bienvenue,Welcome
idiot,silly
certains,some
hôpital,hospital
promis,promised
devenir,become
ouvre,open
grâce,grace
sûre,safe
problèmes,problems
armes,weapons
trucs,stuff
camp,camp
allais,alla
occupe,busy
devait,was to
manque,lack
connaissez,know
thé,tea
avaient,had
cheveux,hair
soleil,sun
salle,room
gagner,earn
laissez,leave
erreur,error
cru,believed
pars,pars
bizarre,weird
croyez,believe
sac,bag
hôtel,hotel
oncle,uncle
pièce,piece
pouvait,could
fond,bottom
soirée,evening
secret,secret
patron,boss
rapport,report
apprendre,learn
commencé,begin
sauver,save
seconde,second
pensez,Think
allô,Hello
ailleurs,elsewhere
agent,agent
froid,cold
seras,will be
pied,foot
jolie,pretty
revenir,to come back
scène,stage
pieds,feet
n,not
devons,owe
groupe,band
carte,map 
aurai,will have
effet,effect
neuf,nine
fallait,had to
monte,mounted
battre,beat
noël,Christmas
venue,coming
mots,words
tire,drawn
droite,LAW
libre,free
soeur,sister
situation,situation
seront,will be
faux,fake
bordel,mess
foutre,cum
lumière,light
euh,uh
incroyable,amazing
tue,kill
joli,attractive
connaît,know
debout,upright
colonel,colonel
cheval,horse
écoutez,Listen
george,George
joe,joe
vieille,old
entrez,Come in
intérieur,interior
coin,corner
auras,aura
gagné,won
fric,money
loi,law
absolument,absolutely
dame,lady
cool,cool
magnifique,Magnificent
dos,back
occuper,to occupy
présent,here
retrouver,to regain
réussi,succeeded
frank,Frank
rencontrer,meet
aviez,had
meilleure,best
âme,soul
prêts,loans
doucement,gently
table,table
lettre,letter
rappelle,remember
sam,sat
fut,was
risque,risk
ordres,orders
appel,call
commencer,begin
terminé,ended
agit,act
blanc,white
sœur,sister
pareil,The same
charlie,charlie
chaud,hot
finir,finish
touche,hit
avance,advance
ignore,ignore
meurtre,murder
tranquille,calm
anniversaire,anniversary
déjeuner,lunch
disais,said
bord,edge
tom,Tom
jeunes,youth
accident,accident
parlez,speak
fasse,do
complètement,completely
déteste,hated
clair,clear
marcher,to walk
disait,said
mauvaise,bad
envoyé,sent
â,To
professeur,teacher
heureuse,happy
doivent,must
midi,noon
lire,read
moyen,AVERAGE
ferait,would do
commandant,commanding officer
vraie,real
sept,seven
forme,form
tombe,fall
silence,silence
sortez,get out
connaître,to know
puisse,may
cadeau,gift
flics,cops
mer,sea
médecin,doctor
exact,exact
décidé,decided
moitié,half
surprise,surprise
avocat,attorney
montre,show
b,B
su,on
porter,to carry
télé,TV
vivant,alive
jure,sworn
disent,say
mr,MR
serez,will be
devriez,should
devenu,became
aimé,like
diable,devil
ligne,line
mission,assignment
suppose,Assumed
chacun,each
autour,around
pote,pal
grosse,fat
expliquer,explain
arrivée,arrival
monter,to go up
balle,ball
selon,according
photos,Pictures
contrôle,control
prête,ready
anglais,English
sorti,got out
k,k
bons,good
disparu,gone
tenir,hold
simplement,merely
quitter,quit
envoie,send
paul,Paul
aimer,to like
voie,way
paris,Paris
classe,class
huit,eight
offre,offer
poste,job
dangereux,dangerous
attaque,offensive
impression,impression
folle,crazy
michael,Michael
mange,eat
bravo,cheer
arrière,back
amérique,America
suivre,follow
aille,go
oublier,forget
peuple,people
baiser,kiss
rencontré,encounter
honte,shame
connard,asshole
trou,hole
retourner,flip
chanson,song
change,exchange
arrêté,stopped
enfer,hell
écrire,to write
livres,books
habitude,habit
réponse,answer
david,David
lieutenant,lieutenant
savait,knew
radio,radio
tenez,hold
bande,strip
bob,bob
rend,renders
compagnie,company
connu,known
secours,rescue
danse,dance
met,put
vol,flight
vit,lives
conneries,bullshit
aurez,will have
imagine,conceived
boîte,box
joué,cheek
triste,sad
sud,south
lu,read
tel,such
merveilleux,marvellous
pute,whore
aie,Ouch
ressemble,looks like
coucher,to sleep
ennuis,troubles
volé,stolen
sortie,exit
devais,had to
combat,fight
bouche,blocked
certain,certain
visite,visit
existe,exist
bête,beast
retourne,return
approche,approach
pourtant,Nevertheless
plusieurs,several
rire,laugh
but,aim
sergent,sergeant
public,audience
système,system
présente,present
dirai,will say
faudra,will have to
écouter,listen
hors,except
exemple,example
vendre,sell
continuer,continue
coups,strokes
pourra,may
sympa,nice
nord,north
cuisine,food
époque,era
grands,tidy
héros,hero
étrange,odd
avenir,coming
danger,hazard
envoyer,send
gouvernement,government
danser,to dance
lune,moon
etre,be
poser,lay
partez,set off
normal,normal
peau,skin
santé,health
ecoutez,Listen
ouvrir,open
nez,nose
secondes,seconds
amoureux,lover
dommage,Shame
pleine,full
mille,thousand
banque,bank
voler,fly
clé,key
bonnes,good
paraît,appears
servir,serve
journal,log
village,village
tient,is holding
flic,cop
salaud,bastard
juge,judge
tiré,drawn
cour,court
assis,sat
bruit,noise
terrible,terrible
prochain,next
inspecteur,inspector
liberté,freedom
blague,joke
robe,dress
crime,crime
bière,beer
tas,pile
viennent,are coming
don,Don
reine,queen
protéger,protect
seuls,only
préfère,favorite
bar,bar
dingue,crazy
vent,wind
pitié,pity
croit,believes
payé,paid
travers,through
club,club
garçons,boys
conseil,advice
mesdames,ladies
sol,floor
bonheur,happiness
rêves,dreams
centre,center
thé,tea
mêmes,same
avions,planes
mike,mike
nulle,nothing
stupide,stupid
pouvons,can
vin,wine
tante,aunt
sent,feel
fiche,form
milieu,environment
signe,sign
unis,United
appelez,call
départ,departure
inutile,useless
emmener,to take
comprenez,understand
liste,list
gamin,kid
johnny,johnny
hey,hey
prise,plug
savent,know
différent,different
verra,will see
probablement,probably
intérêt,interest
choisi,selected
parole,speech
ennemi,enemy
vêtements,clothes
aimez,like
recherche,research
société,Company
faisais,was doing
peter,to fart
œil,eye
soin,care
chère,dear
tourne,turned
ià,ià
descendre,to come down
félicitations,Congratulation
pose,laid
position,position
oeil,eye
vouloir,to want
mecs,guys
irai,go
spectacle,show
acheté,bought
laquelle,which
rôle,role
intéresse,interested
utiliser,to use
match,match
devient,become
quitté,quits
asseoir,Sit
environ,approximately
plait,beating
mur,ripe
blessé,hurt
mise,putting
harry,harry
you,you
beauté,beauty
salope,slut
parie,bett
sert,serve
soldats,soldiers
films,movies
américain,American
marier,marry
entrée,entrance
soldat,soldier
ouvert,open
sauter,skip
londres,London
eiie,eiie
lequel,which
lâche,cowardly
église,church
pierre,rock 
art,art
fenêtre,window
humain,human
tort,wrong
cerveau,brain
coupable,guilty
petites,small
promets,promotion
adresse,address
prince,prince
quartier,neighborhood
espoir,hope
conduire,conduct
auriez,would have
ridicule,ridiculous
justice,justice
rose,pink
venus,Venus
max,max
jimmy,jimmy
presse,press
adieu,farewell
revient,come back
expérience,experience
présenter,to present
tombé,fall
faisons,let's do
épouser,marry
frères,brothers
veuillez,please
revenu,income
colère,anger
bill,bill
vis,screw
james,james
pourriez,could
jim,jim
intéressant,interesting
ouvrez,open
nature,nature
gosse,kid
taxi,Taxi
fier,proud
preuve,evidence
riche,rich
faudrait,should
base,base
fleurs,flowers
vide,empty
portes,doors
mademoiselle,miss 
formidable,tremendous
nul,no
directeur,director
chanter,sing
contact,contact
histoires,stories
marié,married
défense,defense
répondre,respond
excuse,excuse
responsable,responsible
deuxième,second
mary,mary
san,San
appartement,apartment
décision,decision
cinéma,movie theater
jeter,discard
aimais,loved
cacher,hide
glace,ice
occasion,occasion
dents,teeth
vacances,vacation
course,race
ravi,delighted
tueur,killer
sentir,feel
courage,courage
jésus,Jesus
allée,aisle
capable,able
essayez,try
sauvé,Safe
longue,long
parmi,among
continuez,continue
paie,pay
superbe,stunning
français,French
souvenir,memory
ouest,west
dégage,clear
jambes,legs
coupe,cut
immédiatement,immediately
machine,machine
épouse,marry
telle,such
marie,married
mien,mine
pius,pius
certainement,certainly
bombe,bomb
types,guys
p,p
né,born
manière,manner
gagne,won
prévu,foreseen
chier,take a dump
trouves,found
u,U
idées,ideas
touché,hit
rendu,rendering
monstre,freak
km,km
retrouve,found
ha,Ha
f,F
importance,importance
joie,joy
dérange,disturbs
arrivent,arrive
court,short
pont,bridge
foutu,damn
bain,bath
oubliez,forget
tourner,turn
contente,satisfied
attendais,expected
cent,hundred
enchanté,delighted
signifie,means
américains,American
iis,iis
quitte,quits
poisson,fish
henry,Henry
ayez,have
terrain,ground
enquête,investigation
horrible,horrible
chat,cat
certaines,some
r,R
camion,truck
copine,friend
joyeux,cheerful
shérif,sheriff
ramener,to bring back
descends,go down
éviter,avoid
projet,project
and,and
dossier,case
respect,respect
excellent,excellent
envers,towards
mariée,bride
occupé,busy
lorsque,when
blanche,white
majesté,majesty
rencontre,encounter
toucher,to touch
ange,angel
refuse,denied
charge,charge
billy,billy
chevaux,horses
v,V
chiens,dogs
empêcher,to prevent
dure,hard
zone,area
faits,facts
animaux,animals
meilleurs,best
plupart,mostly
emmène,take
étions,were
politique,policy
chaussures,shoes
langue,language
mangé,eat
douleur,pain
planète,planet
offrir,to offer
règles,rules
drogue,dope
réalité,reality
bus,bus
enfoiré,Motherfucker
dirais,would say
permis,permit
vécu,lived
chapeau,hat
île,island
réunion,meeting
soient,be
contraire,opposite
tony,tony
mettez,put
nick,nick
arrivera,to arrive at
excuser,excuse
code,coded
couleur,color
rapide,fast
raconte,recount
papier,paper
discuter,discuss
opération,operation
cartes,cards
nourriture,food
entier,entire
nécessaire,necessary
frais,costs
toilettes,bathroom
spécial,special
vaisseau,vessel
action,stock
princesse,princess
magasin,store
copain,boyfriend
sache,beam
bu,drank
steve,steve
découvert,discovered
pain,bread
mignon,cute
taille,size 
sacré,sacred
rends,renders
eddie,Eddie
double,double
viendra,will come
imbécile,imbecile
essaye,tried
champ,field
personnel,staff
client,customer
lait,milk
contrat,CONTRACT
partis,gone
sexe,sex
mienne,mine
repas,meal
mémoire,memory
destin,fate
direction,direction
dors,sleep
faite,done 
pleurer,cry
couteau,knife
malin,clever
remettre,to put back
ray,ray
témoin,witness
restes,remains
mètres,meters
trésor,treasure
gosses,kids
aiment,like
washington,Washington
habite,reside
foi,faith
puisque,since
apporté,brought
solution,solution
trouvez,Find
nouveaux,new
réfléchir,to reflect on
choisir,choose
goût,taste
remercie,thanks
détruire,destroy
université,university
doux,soft
beaux,beautiful
raconter,to tell about
vitesse,speed
menti,lies
três,very
procès,trial
enceinte,pregnant
amuser,entertain
niveau,level
vus,sewing
miss,miss
fermer,close
arranger,arrange
end,ending
clients,clients
rappeler,recall
Alex,Alex
failli,falling
arbre,TREE
papiers,papers
Sarah,Sarah
mérite,deserved
différence,difference
travaillé,work
disons,let's say
bleu,blue
dise,say
aimait,loved
appelles,calls
espace,space
caméra,camera
censé,supposed
qu,that
piste,track
sourire,smile
courir,run
accepter,accept
retrouvé,found
charles,Charles
jambe,leg
angleterre,England
quels,what
préparer,prepare
marre,fed up
forces,strengths
tirez,PULL
énorme,enormous
Danny,Danny
trés,very
invité,guest
rentré,go home
officier,officer
pièces,pieces
lettres,letters
file,line
programme,program
tommy,tommy
arrêt,stop
fout,cum
balles,bullets
flingue,gun
chasse,chase
regrette,regret
to,to
propres,clean
victime,victim
appartient,belongs
france,France
unique,unique
régler,adjust
moindre,lesser
compter,count
voitures,cars
énergie,energy
fil,thread
lycée,high school
crise,crisis
stop,stop
image,picture
vérifier,check
dimanche,Sunday
appareil,device
justement,exactly
richard,richard
noms,nouns
million,million
cassé,broken
enlever,to remove
clés,keys
noire,black
man,man
dépend,depends
derniers,last
doigts,fingers
réponds,answer
honnête,honest
prouver,prove
preuves,evidence
durant,during
souris,mouse
entendez,hear
lever,lift
oiseau,bird
belles,beautiful
oû,Or
apporte,brought
grandes,large
morceau,piece
bobby,bobby
bougez,move
amène,bring
interdit,forbidden
présence,presence
récupérer,retrieve
quelles,what
manqué,lack
cou,neck
venait,came
étage,stage
regard,glance
bouger,to move
finalement,Ultimately
couper,cut
urgence,emergency
perds,losers
points,points
meurt,dies
partons,Let's start
troisième,third
savons,soaps
folie,madness
ancien,ancient
chante,sung
obtenir,get
répète,say again
toit,roof
humains,humans
robert,Robert
jardin,garden
métier,job
poche,poached
méchant,bad
paradis,heaven
proche,close
rejoindre,join
lors,during
nombre,number
crains,fearful
règle,rule
frapper,to hit
intention,intention
succès,hit
forte,strong
gentille,kind
campagne,campaign
raisons,reasons
malgré,despite
alcool,alcohol
regardé,look at
jerry,jerry
billets,tickets
fantastique,fantastic
lee,lee
théâtre,theater
vôtre,your
samedi,SATURDAY
pluie,rain
fermé,farm
relation,relationship
frappé,struck
restaurant,restaurant
douce,gentle
maladie,disease
parlait,was talking
raté,missed
casse,broken
dessous,underneath
pourrai,could
victoire,victoire
voudrait,would like
remarqué,REMARK
assurer,ensure
pleure,cry
bouteille,bottle
gare,station
carrière,career
sentiments,feelings
suivi,follow up
vies,lives
fiston,son
vendu,sold
attendant,waiting
pourras,can
amoureuse,in love
mens,mens
falloir,to need
chinois,Chinese
étranger,foreign
appelait,called
assure,assured
étant,being
queue,tail
odeur,smell
enlève,remove
produit,product
meurs,die
secrets,secrets
pression,pressure
fatigué,fatigue
aies,aies
plage,beach
okay,Okay
animal,animal
frappe,struck
montagne,mountain
coffre,chest
passage,passage
suivant,following
signal,signal
discours,speech
cents,cents
claire,clear
g,g
rivière,river
costume,suit
prendra,will take
souhaite,wish
hasard,chance
journaux,newspapers
aveugle,blind
lis,read
demandez,Ask
retraite,retirement
afin,in order to
vendredi,Friday
van,van
auraient,would have
obligé,obligatory
major,major
neige,snow
remercier,thank
fusil,gun
gardes,guards
faible,weak
pauvres,poor
noirs,black
gâteau,cake
cesse,stop
parfaitement,perfectly
excuses,apologize
viande,meat
ministre,minister
univers,universe
vienne,Vienna
utile,useful
demandais,asked
crétin,dumbass
gaffe,blunder
cache,hidden
disant,saying
décider,decide
dort,sleep
gaz,gas
blancs,whites
connaissance,awareness
vouliez,wanted
jake,jake
vidéo,video
bataille,battle
vive,long -lived
anna,Anna
martin,Martin
iui,Iui
os,bone
entend,hears
jeux,games
will,will
verras,will see
date,date
échapper,escape
naissance,birth
droits,rights
assassin,assassin
attendu,expected
montez,go up
nouvel,new
pensent,think
génie,genius
sérieusement,seriously
cible,target
prépare,prepared
agir,to act
militaire,military
futur,future
attraper,catch
bal,ball
europe,Europe
californie,California
donnez,give
cousin,cousin
vert,Green
poids,weight
volonté,will
ventre,belly
accepte,accepted
amené,bring
recevoir,receive
inquiétez,worry
perd,lose
autrement,otherwise
informations,information
titre,title
célèbre,famous
couple,couple
sexy,sexy
serons,will be
certaine,certain
parlons,let's talk
star,star
étoiles,stars
rome,Rome
los,the bone
répondu,answered
resté,stay
charmant,charming
puissant,powerful
zéro,zero
genoux,knees
mine,mine
couilles,balls
pilote,pilot
maria,Maria
style,style
ramène,brings back
voulons,want to
embrasser,embrace
amener,to bring
valeur,value
fortune,fortune
reprendre,to resume
revenez,come back
vieil,old
walter,Walter
servi,served
arrivés,arrived
lève,survey
voleur,thief
côtés,sides
chris,Chris
note,note
préféré,favorite
couché,layer
milliers,thousands
aéroport,airport
prévenir,prevent
château,castle
apparemment,apparently
gardez,Keep
privé,private
détails,details
larry,Larry
direct,direct
reposer,to rest
commande,order
cherchez,look
fer,iron
conduit,conduit
conscience,awareness
oreilles,ears
conversation,conversation
regardes,look
joues,play
ennemis,enemies
attendent,wait
article,article
dieux,gods
talent,talent
aise,easy
poulet,chicken
passée,past
comprend,understand
gorge,throat
feras,do
tribunal,court
découvrir,discover
agréable,pleasant
jette,throw
test,test
emmerde,foul
détruit,destroy
nerveux,nervous
saint,Holy
marrant,funny
joindre,join
sentiment,feeling
lance,spear
humaine,human
acte,deed
jane,jane
pis,worse
enculé,fucked
tuée,killed
saura,will know
doigt,finger
pourrez,can
passera,will pass
horreur,horror
comptes,accounts
dernières,latest
violence,violence
fumer,to smoke
invités,guests
parlais,gauge
job,job
salon,living room
défendre,defend
mariés,married
rock,rock
apporter,bring
coupé,cut
repos,rest
paquet,pack
page,page
utilise,used
victimes,victims
sage,wise
aidé,aid
intelligent,clever
ombre,shadow
vache,cow
désert,desert
forêt,forest
parfaite,perfect
tombée,fall
extérieur,outside
entré,between
série,series
concerne,concerned
paroles,words
dira,will say
it,it
champion,champion
fbi,FBI
lundi,Monday
moteur,engine
ouverte,opened
mince,thin
al,Al
russe,Russian
grandi,grown up
rappelles,recall
dormi,sleep
ordinateur,computer
in,in
angeles,Angeles
accepté,accepted
désormais,From now on
acteur,actor
membres,members
trouvée,found
pete,pete
surpris,surprised
miracle,miracle
vole,stolen
manquer,miss
franchement,Frankly
apprécie,appreciate
cigarette,cigarette
chemise,shirt
mark,mark
tente,tent
faisant,doing
billet,ticket
reculez,go back
moyens,means
importante,important
unité,unit
champagne,Champagne
pensait,thought
www,www
partager,share
smith,smith
minuit,midnight
américaine,American
courses,shopping
puissance,power
william,William
nombreux,many
réparer,fix
caché,hidden
haute,high
sommeil,sleep
essence,essence
riches,rich
lac,lake
maire,mayor
mode,fashion
vingt,twenty
reviendra,will come back
pousse,growth
amusant,amusing
passez,pass
services,services
doc,doc
rues,streets
of,of
risques,risks
émission,issue
leçon,lesson
annonce,announcement
plans,plans
usine,factory
louis,Louis
imaginer,imagine
chauffeur,driver
marque,brand
parc,park
épée,sword
fesses,buttocks
échange,exchange
souvenirs,memories
créer,create
senti,felt
signer,sign
artiste,artist
jeté,thrown
réveiller,wake
hiver,winter
également,also
hum,hum
souffle,breath
vrais,real
arbres,trees
saute,jumped up
fuir,flee
meme,even
battu,beaten
permission,permission
casser,to break
chicago,Chicago
allemands,Germans
utilisé,used
mentir,lie
souci,worry
é,e
coûte,cost
paye,paid
tres,very
offert,Free
sir,sir
no,no
chair,flesh
caisse,box
supplie,beg
dégagez,release
raconté,recount
andy,Andy
lunettes,eyeglasses
chouette,owl
menteur,liar
trouvera,will find
semblant,semblance
ignorais,ignorant
perdue,lost
whisky,whiskey
rentrez,come back
premiers,first
pantalon,pants
menace,threat
racontes,tells
douche,shower
oiseaux,birds
finie,finish
auront,will have
débarrasser,rid
membre,member
perte,loss
verrez,will see
front,forehead
lèvres,lips
mai,may
fac,college
allo,Hello
connaissais,knew
gouverneur,governor
monnaie,cash
chou,cabbage
achète,bought
thomas,Thomas
secrétaire,secretary
montré,show
jones,jones
écris,wrote
parlent,talk
chaise,chair
herbe,grass
créé,created
manteau,coat
chocolat,chocolate
pause,break
côte,coast
abandonner,give up
policier,police officer
patient,patient
dave,dave
études,studies
ballon,ball 
mène,led
respire,breath
mouvement,movement
suicide,suicide
japonais,Japanese
accès,access
tienne,yours
laisserai,will leave
poupée,doll
innocent,innocent
allés,alleys
identité,identify
véritable,true
simon,Simon
devenue,become
totalement,totally
piège,trap
gloire,glory
pourraient,could
abri,shelter
explique,explain
rapidement,quickly
fonctionne,works
boy,boy
foule,crowd
pensées,thoughts
maisons,houses
fantôme,ghost
source,source
lancer,throw
suit,follows
changement,change
choc,shock
veste,jacket
attaquer,tackle
faveur,favor
oreille,ear
touchez,touch
malheureusement,Unfortunately
soudain,suddenly
tués,You are
bref,Short
malheur,misfortune
portable,portable
chaleur,heat
mensonge,lie
répondez,answer
heureusement,Fortunately
emploi,job
lois,laws
nettoyer,to clean
attrape,caught
geste,gesture
verrai,will see
notes,notes
plat,flat
etait,was
corde,rope
sacrée,sacred
cherches,looking for
siècle,century
etat,state
distance,distance
refusé,denied
mars,March
saison,season
bel,beautiful
monté,mounted
idiote,idiot
recherches,research
alerte,alert
ennuie,bored
christ,Christ
remonte,traced back
plaisante,pleasant
city,City
bat,bat
images,images
voulaient,wanted
titres,securities
alice,Alice
